Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Apple,Middle Highlands,"prefer deep soil with medium soil texture, irrigated, ",15,11,15,2,no,400-800,seedlings/ha,,,1,6,15,11,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","prefer deep soil with medium soil texture, irrigated, ",,,,,
Pear,Middle Highlands,"sandy clay soil, irrigated, 500 kg org. fert.",15,11,15,1,no,400,seedlings/ha,,,15,5,15,6,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","pruning start at jan. , trees start fruting after 3 years. sandy clay soil, irrigated, 500 kg org. fert.",,,,,
Almond,Middle Highlands,"sandy clay soil, irrigated",15,11,15,2,no,480,seedlings/ha,,,15,6,15,9,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","trees start fruiting after 5 years. sandy clay soil, irrigated",,,,,
Peach,Middle Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",1,12,1,2,no,400-1200,seedlings/ha,,,1,6,1,9,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","pruning start at jan, trees start fruiting after 3 years. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Apricot,Middle Highlands,"sandy clay soil, irrigated, 500 kg org. fert.",1,12,1,2,no,200-250,seedlings/ha,,,1,5,1,6,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","pruning start at jan, trees start fruiting after 3 years. sandy clay soil, irrigated, 500 kg org. fert.",,,,,
Cherry (all varieties),Middle Highlands,irrigated,1,3,30,11,no,250-300,seedlings/ha,,,1,5,1,7,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba",trees start fruiting after 3 years. irrigated,,,,,
Fig,Middle Highlands,irrigated,,,,,yes,200-250,seedlings/ha,,,15,8,15,11,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","pruning start at jan.+feb., start fruiting after 3-6 years after plantaton ( 3 years with good management). irrigated",,,,,
Pomegranate,Middle Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,400-850,seedlings/ha,,,1,7,30,11,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","pruning start from aug. to oct., start fruiting after 3 years from plantation with good management. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Grape,Middle Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,1100-2500,seedlings/ha,,,15,5,15,8,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","start fruiting after 1.5 years from plantation. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Guava,Middle Highlands,"good drained soil, irrigated",1,1,28,2,no,250-300,seedlings/ha,,,30,8,30,10,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","fallen leaves type. good drained soil, irrigated",,,,,
Date Palm,Middle Highlands,"Sandy soil, shouldn't be Alkaline Soil , irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du, 501 CWR",,,,,yes,100-200,seedlings/ha,,,15,8,1,11,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","start fruiting after 4 years from plantation. Sandy soil, shouldn't be Alkaline Soil , irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du, 501 CWR",,,,,
Apple,Southern Highlands,"prefer deep soil with medium soil texture, irrigated",1,11,1,2,no,400-800,seedlings/ha,,,15,5,1,11,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","prefer deep soil with medium soil texture, irrigated",,,,,
Pear,Southern Highlands,"sandy clay soil, irrigated, 500 kg org. fert.",1,11,1,2,no,400,seedlings/ha,,,1,5,1,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","pruning start at jan. , trees start fruting after 3 years. sandy clay soil, irrigated, 500 kg org. fert.",,,,,
Almond,Southern Highlands,"sandy clay soil, irrigated",1,11,1,2,no,480,seedlings/ha,,,1,6,1,9,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","trees start fruiting after 5 years. sandy clay soil, irrigated",,,,,
Peach,Southern Highlands,"sandy clay soil, irrigated, 600 kg org. fert.",1,12,1,2,no,400-1200,seedlings/ha,,,1,6,1,9,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","pruning start at jan, trees start fruiting after 3 years. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
